"movie_id","movie_releaseYear","movie_title","movie_voteAverage","movie_voteNb","movie_budget"
77,2000,"Memento",8.2,7813,9000000
320,2002,"Insomnia",6.9,2227,46000000
1124,2006,"The Prestige",8.1,8164,40000000
27205,2010,"Inception",8.3,22161,160000000
157336,2014,"Interstellar",8.2,18570,165000000
9559,1993,"A Perfect World",7.4,696,30000000
688,1995,"The Bridges of Madison County",7.6,784,24000000
70,2004,"Million Dollar Baby",7.9,4850,30000000
1251,2006,"Letters from Iwo Jima",7.4,965,19000000
3580,2008,"Changeling",7.5,2094,55000000
209451,2014,"Jersey Boys",6.9,379,40000000
190859,2014,"American Sniper",7.4,7645,58800000
135397,2015,"Jurassic World",6.6,14046,150000000
265195,2014,"Wild Tales",7.8,1562,0
244786,2014,"Whiplash",8.4,7894,3300000
242582,2014,"Nightcrawler",7.7,5852,8500000
181283,2015,"Child 44",6.2,899,50000000
9905,1994,"Shallow Grave",7.1,434,0
627,1996,"Trainspotting",8,5334,4000000
473,1998,"Pi",7.1,1090,60000
1907,2000,"The Beach",6.4,2345,40000000
12405,2008,"Slumdog Millionaire",7.7,5846,15000000
68727,2013,"Trance",6.6,1347,20000000
321697,2015,"Steve Jobs",6.8,2566,30000000
641,2000,"Requiem for a Dream",8,4831,4500000
513138,2011,"Black Swan: Metamorphosis",7.5,4,0
77016,2012,"End of Watch",7.3,1767,7000000
228150,2014,"Fury",7.4,6647,68000000
837,1983,"Videodrome",7.3,888,5952000
59,2005,"A History of Violence",7.1,1499,32000000
2252,2007,"Eastern Promises",7.3,1554,51500000
205587,2014,"The Judge",7.3,2354,50000000
8077,1992,"Alien³",6.3,2790,50000000
550,1999,"Fight Club",8.4,16304,63000000
1949,2007,"Zodiac",7.5,4299,65000000
37799,2010,"The Social Network",7.2,6109,40000000
209361,2013,"One Chance",6.6,160,0
72559,2013,"G.I. Joe: Retaliation",5.5,3877,130000000
1955,1980,"The Elephant Man",8,1480,5000000
